customer,merchant,fraud,inr_amount,txn_count_customer,is_high_amount,category_fraud_rate,txn_count_category,customer_fraud_rate,merchant_fraud_rate,txn_count_merch,categoy__'es_barsandrestaurants',categoy__'es_contents',categoy__'es_fashion',categoy__'es_food',categoy__'es_health',categoy__'es_home',categoy__'es_hotelservices',categoy__'es_hyper',categoy__'es_leisure',categoy__'es_otherservices',categoy__'es_sportsandtoys',categoy__'es_tech',categoy__'es_transportation',categoy__'es_travel',categoy__'es_wellnessandbeauty'
'C1962137244','M348934600',0,2801.25,81,0,0.0,505119,0.0,0.0,118230,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C879260717','M348934600',0,4563.83,11,0,0.0,505119,0.1818181818181818,0.0,166761,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2016890783','M348934600',0,5181.47,25,0,0.0,505119,0.0,0.0,47974,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1337923906','M1823072687',0,4304.65,105,0,0.0,505119,0.0,0.0,135447,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1068772542','M1823072687',0,4103.08,63,0,0.0,505119,0.0158730158730158,0.0,101314,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C553434543','M1823072687',0,4555.88,176,0,0.0,505119,0.1761363636363636,0.0,297511,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C24198147','M1823072687',0,2248.15,37,0,0.0,505119,0.0,0.0,30946,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1423828273','M348934600',0,1199.54,35,0,0.0,505119,0.0857142857142857,0.0,131297,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1783127345','M348934600',0,368.4,42,0,0.0,505119,0.0,0.0,75079,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1425719203','M348934600',0,552.11,12,0,0.0,505119,0.0,0.0,22968,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C377517197','M348934600',0,2108.14,22,0,0.0,505119,0.0,0.0,39521,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1456851744','M1600850729',0,8603.35,176,1,0.0179733498605515,6454,0.0,0.0,2513,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
'C631654729','M1823072687',0,2122.04,138,0,0.0,505119,0.0,0.0,199137,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C891364505','M1823072687',0,4094.14,168,0,0.0,505119,0.0,0.0,278006,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C25346278','M348934600',0,2169.7,68,0,0.0,505119,0.0,0.0,112076,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1667929755','M1946091778',0,590.84,69,0,0.0475937955720535,15086,0.0,0.0,1279,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
'C1549322511','M85975013',0,1896.63,121,0,0.0,26254,0.0,0.0,18555,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C1516302826','M1823072687',0,1598.73,61,0,0.0,505119,0.0,0.0,110235,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1718318682','M85975013',0,1433.89,0,0,0.0,26254,0.0,0.0,64,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C686064678','M1823072687',0,888.73,39,0,0.0,505119,0.0,0.0,45502,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1257820473','M348934600',0,2269.01,122,0,0.0,505119,0.0,0.0,161125,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2031167542','M1823072687',0,60.57,91,0,0.0,505119,0.0,0.0,119136,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1354799046','M1823072687',0,2351.42,133,0,0.0,505119,0.0075187969924812,0.0,213951,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C269960003','M348934600',0,2979.0,61,0,0.0,505119,0.0,0.0,95684,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C118836015','M1823072687',0,7053.28,145,0,0.0,505119,0.0,0.0,226055,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2095429384','M1823072687',0,2457.67,33,0,0.0,505119,0.0,0.0,25088,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2043927860','M1823072687',0,296.91,133,0,0.0,505119,0.0,0.0,204953,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1396978257','M348934600',0,3479.47,20,0,0.0,505119,0.0,0.0,65747,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1719535099','M1823072687',0,3881.64,57,0,0.0,505119,0.0,0.0,56450,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C813472343','M85975013',0,2458.67,156,0,0.0,26254,0.0,0.0,22134,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C490558731','M1823072687',0,1988.98,177,0,0.0,505119,0.0,0.0,299188,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C777438443','M1823072687',0,2270.99,98,0,0.0,505119,0.0,0.0,261981,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C318818410','M1823072687',0,2280.92,30,0,0.0,505119,0.0,0.0,24114,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C727658706','M1823072687',0,2196.52,43,0,0.0,505119,0.0,0.0,43960,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C885555910','M1823072687',0,302.86,44,0,0.0,505119,0.0,0.0,45027,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1480064437','M348934600',0,3111.07,20,0,0.0,505119,0.0,0.0,58257,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1642592478','M1823072687',0,477.63,143,0,0.0,505119,0.0,0.0,229446,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1215440829','M348934600',0,1676.18,13,0,0.0,505119,0.0,0.0,100571,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C245019752','M348934600',0,2339.51,164,0,0.0,505119,0.0304878048780487,0.0,196529,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1215446912','M1823072687',0,1246.22,95,0,0.0,505119,0.0,0.0,225343,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C590614528','M1823072687',0,4032.57,47,0,0.0,505119,0.0,0.0,39519,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C322786133','M348934600',0,751.7,66,0,0.0,505119,0.0151515151515151,0.0,190676,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1297100897','M1535107174',0,7992.66,8,1,0.0475937955720535,15086,0.0,0.0467032967032967,728,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
'C1906860092','M348934600',0,2542.08,14,0,0.0,505119,0.0,0.0,23638,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1216867117','M348934600',0,708.01,8,0,0.0,505119,0.0,0.0,57904,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1669649966','M1823072687',0,2879.7,28,0,0.0,505119,0.0,0.0,20435,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C480669012','M348934600',0,3794.25,18,0,0.0,505119,0.0,0.0,96331,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C270217031','M349281107',0,720.92,164,0,0.0179733498605515,6454,0.0,0.0,2780,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
'C1376617526','M348934600',0,2943.25,109,0,0.0,505119,0.0,0.0,151925,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1731163929','M348934600',0,1056.55,36,0,0.0,505119,0.0,0.0,61020,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C23049140','M348934600',0,1738.74,0,0,0.0,505119,0.0,0.0,232,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1598533502','M1823072687',0,3496.35,89,0,0.0,505119,0.0,0.0,158658,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1299368401','M1823072687',0,1637.46,132,0,0.0,505119,0.0,0.0,187067,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1646712119','M348934600',0,5742.52,50,0,0.0,505119,0.0,0.0,86318,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C823379702','M1823072687',0,3601.61,146,0,0.0,505119,0.0,0.0,232318,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C476477241','M348934600',0,2342.49,106,0,0.0,505119,0.0,0.0,146422,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C590614528','M1823072687',0,1176.7,49,0,0.0,505119,0.0,0.0,42089,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2144163136','M1823072687',0,2579.81,139,0,0.0,505119,0.0,0.0,210578,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2134625729','M348934600',0,5265.88,126,0,0.0,505119,0.0,0.0,178749,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C47809392','M1823072687',0,2592.72,149,0,0.0,505119,0.0335570469798657,0.0,234973,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1983995504','M1823072687',0,3003.82,102,0,0.0,505119,0.0,0.0,136615,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2128712024','M348934600',0,237.33,27,0,0.0,505119,0.037037037037037,0.0,87341,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C771207119','M1823072687',0,1128.05,114,0,0.0,505119,0.0,0.0,155034,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1820855004','M1913465890',0,15464.98,113,1,0.1051261389698134,16133,0.0,0.0,1511,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
'C299068475','M348934600',0,5655.14,64,0,0.0,505119,0.0,0.0,102475,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C320437746','M1823072687',0,2223.33,43,0,0.0,505119,0.0,0.0,38674,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1814870538','M1823072687',0,2540.09,139,0,0.0,505119,0.0,0.0,211343,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1645276019','M1823072687',0,49.65,38,0,0.0,505119,0.0,0.0,29483,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1258725927','M348934600',0,1020.8,2,0,0.0,505119,0.0,0.0,5399,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1178726445','M85975013',0,9008.5,71,1,0.0,26254,0.0,0.0,11582,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C1034685704','M348934600',0,2343.48,112,0,0.0,505119,0.0,0.0,174737,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C121798652','M348934600',0,4260.96,104,0,0.0,505119,0.0,0.0,154790,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2005671734','M85975013',0,3669.14,161,0,0.0,26254,0.0062111801242236,0.0,24144,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C883803148','M348934600',0,3488.41,35,0,0.0,505119,0.0,0.0,63952,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C409331076','M348934600',0,3119.01,82,0,0.0,505119,0.0,0.0,121637,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C961515074','M1823072687',0,3557.92,4,0,0.0,505119,0.0,0.0,2063,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C169274898','M1823072687',0,119.16,142,0,0.0,505119,0.0,0.0,216797,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2013867948','M1823072687',0,6829.85,80,0,0.0,505119,0.0125,0.0,264440,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2145448250','M1823072687',0,2330.57,120,0,0.0,505119,0.0,0.0,176016,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1037161656','M348934600',0,2216.38,97,0,0.0,505119,0.0,0.0,138918,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C927766810','M348934600',0,2220.35,99,0,0.0,505119,0.0202020202020202,0.0,143439,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C585317135','M1823072687',0,2185.59,166,0,0.0,505119,0.0,0.0,278921,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C416655198','M1823072687',0,4118.96,101,0,0.0,505119,0.0,0.0,127876,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1360806205','M1823072687',0,3544.02,21,0,0.0,505119,0.0476190476190476,0.0,207084,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C330615170','M692898500',0,25376.12,13,1,0.1051261389698134,16133,0.5384615384615384,0.0260869565217391,460,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
'C497246334','M348934600',0,1736.76,4,0,0.0,505119,0.0,0.0,44197,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2014438912','M151143676',0,458.77,14,0,0.0188294366860191,6373,0.0,0.0229095074455899,873,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
'C1657707912','M1823072687',0,3711.83,53,0,0.0,505119,0.0,0.0,53328,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1928842916','M151143676',0,16564.23,14,1,0.0188294366860191,6373,0.4285714285714285,0.0154068367838228,2077,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
'C1934785516','M1823072687',0,2263.05,103,0,0.0,505119,0.0,0.0,136001,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C206074131','M1823072687',0,608.71,97,0,0.0,505119,0.0,0.0,140394,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C15485686','M348934600',0,673.25,15,0,0.0,505119,0.0,0.0,155017,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1674674654','M348934600',0,4887.55,142,0,0.0,505119,0.0,0.0,183423,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1901064095','M1823072687',0,1089.32,56,0,0.0,505119,0.0,0.0,61720,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C985732014','M1823072687',0,4550.92,146,0,0.0,505119,0.0,0.0,261070,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1954474578','M1823072687',0,789.43,90,0,0.0,505119,0.0,0.0,117981,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1537824739','M1823072687',0,1062.51,93,0,0.0,505119,0.0,0.0,120072,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1648492699','M348934600',0,1040.66,121,0,0.0,505119,0.024793388429752,0.0,182779,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C742784538','M1823072687',0,2676.13,161,0,0.0,505119,0.0,0.0,269519,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1791559714','M1823072687',0,2802.25,153,0,0.0,505119,0.0,0.0,235297,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1499092508','M348934600',0,6379.03,122,0,0.0,505119,0.0,0.0,163339,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C880299982','M1823072687',0,2293.83,117,0,0.0,505119,0.0256410256410256,0.0,236026,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C412473162','M1823072687',0,4398.0,91,0,0.0,505119,0.0,0.0,253962,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1192557067','M1823072687',0,2723.8,130,0,0.0,505119,0.0,0.0,255464,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C343535530','M1823072687',0,3689.99,83,0,0.0,505119,0.0120481927710843,0.0,297700,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1349086787','M348934600',0,4075.27,123,0,0.0,505119,0.040650406504065,0.0,202082,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1697851479','M1823072687',0,599.77,101,0,0.0,505119,0.0,0.0,133495,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1389923471','M1823072687',0,4235.14,98,0,0.0,505119,0.0,0.0,148721,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C736721523','M1823072687',0,4337.42,120,0,0.0,505119,0.0333333333333333,0.0,286007,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C848738212','M1823072687',0,1963.16,93,0,0.0,505119,0.010752688172043,0.0,179369,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1424475955','M348934600',0,2868.78,45,0,0.0,505119,0.0,0.0,75305,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C67418210','M1823072687',0,46.67,131,0,0.0,505119,0.0,0.0,191791,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C285545076','M1823072687',0,801.35,120,0,0.0,505119,0.0,0.0,171921,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C862633345','M348934600',0,1613.62,19,0,0.0,505119,0.0,0.0,32167,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1002658784','M348934600',0,2960.13,31,0,0.0,505119,0.0,0.0,100100,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1132565589','M348934600',0,1960.18,1,0,0.0,505119,0.0,0.0,4239,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1607207670','M348934600',0,3803.19,95,0,0.0,505119,0.0105263157894736,0.0,201061,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1279785305','M1823072687',0,3082.27,137,0,0.0,505119,0.0218978102189781,0.0,263907,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1911281701','M348934600',0,3120.01,53,0,0.0,505119,0.0,0.0,84364,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1718318682','M1823072687',0,6393.93,22,0,0.0,505119,0.0,0.0,14404,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1290093162','M85975013',0,2253.12,65,0,0.0,26254,0.0,0.0,7524,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C1815278899','M1823072687',0,2221.34,23,0,0.0,505119,0.0,0.0,16796,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1694165271','M348934600',0,1198.55,100,0,0.0,505119,0.0,0.0,142887,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C440111595','M348934600',0,3700.91,17,0,0.0,505119,0.0,0.0,31312,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C608547225','M348934600',0,185.69,32,0,0.0,505119,0.03125,0.0,56012,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C576436654','M348934600',0,5765.36,31,0,0.0,505119,0.064516129032258,0.0,54643,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1922157108','M1823072687',0,2996.87,155,0,0.0,505119,0.0064516129032258,0.0,260221,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1767929602','M348934600',0,2694.01,162,0,0.0,505119,0.0,0.0,203274,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1297358265','M348934600',0,1129.04,104,0,0.0,505119,0.0,0.0,148952,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C546957379','M348934600',0,4049.45,14,0,0.0,505119,0.0,0.0,27468,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2014169866','M1823072687',0,5695.85,63,0,0.0,505119,0.0,0.0,69238,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1660830591','M1823072687',0,592.82,149,0,0.0,505119,0.0,0.0,239198,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C20027851','M348934600',0,2775.43,1,0,0.0,505119,0.0,0.0,107673,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2042503226','M348934600',0,393.23,86,0,0.0,505119,0.0,0.0,133647,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1122835446','M1823072687',0,5170.55,164,0,0.0,505119,0.0121951219512195,0.0,268945,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C856303631','M151143676',0,5747.48,23,0,0.0188294366860191,6373,0.0,0.0177276390008058,1241,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
'C1117403153','M348934600',0,1407.08,63,0,0.0,505119,0.0,0.0,98745,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C248927068','M1823072687',0,3967.04,68,0,0.0,505119,0.0,0.0,72637,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1704116821','M1823072687',0,1298.84,64,0,0.0,505119,0.0,0.0,72313,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C203427830','M348934600',0,4606.53,23,0,0.0,505119,0.0,0.0,37969,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1807970113','M1823072687',0,2101.19,80,0,0.0,505119,0.0,0.0,98764,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1475317372','M1823072687',0,2621.52,44,0,0.0,505119,0.0,0.0,38009,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C859741683','M348934600',0,3696.94,15,0,0.0,505119,0.0,0.0,49846,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C197543842','M348934600',0,4114.99,20,0,0.0,505119,0.15,0.0,203323,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C536412201','M348934600',0,1459.71,71,0,0.0,505119,0.028169014084507,0.0,202716,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C998987490','M1823072687',0,6647.14,17,0,0.0,505119,0.0,0.0,9307,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C57136184','M348934600',0,2677.13,43,0,0.0,505119,0.0465116279069767,0.0,69931,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C841747618','M1823072687',0,1739.74,118,0,0.0,505119,0.0084745762711864,0.0,218145,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1414374774','M1053599405',0,3455.64,62,0,0.1051261389698134,16133,0.0,0.0,4367,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
'C309780280','M1823072687',0,4462.54,6,0,0.0,505119,0.0,0.0,3802,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C404247926','M348934600',0,3769.43,61,0,0.0,505119,0.0,0.0,94088,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C107438779','M348934600',0,2819.13,2,0,0.0,505119,0.0,0.0,4244,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1814746822','M1823072687',0,3019.71,28,0,0.0,505119,0.0,0.0,19853,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1767103563','M85975013',0,6350.23,83,0,0.0,26254,0.0,0.0,8724,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C601235628','M348934600',0,5616.41,149,0,0.0,505119,0.0,0.0,190056,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C85142763','M348934600',0,1429.92,96,0,0.0,505119,0.0416666666666666,0.0,182238,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C465897830','M1198415165',0,1750.66,12,0,0.0475937955720535,15086,0.25,0.189922480620155,1032,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
'C290140685','M1823072687',0,1449.78,174,0,0.0,505119,0.0,0.0,285475,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2011875751','M1823072687',0,2368.31,41,0,0.0,505119,0.048780487804878,0.0,103868,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1293338653','M348934600',0,3242.14,25,0,0.0,505119,0.0,0.0,96558,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1385115265','M1823072687',0,1586.81,141,0,0.0,505119,0.0,0.0,247835,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C883803148','M1823072687',0,3028.65,125,0,0.0,505119,0.0,0.0,202963,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1465698425','M1823072687',0,523.31,151,0,0.0,505119,0.0,0.0,249224,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C841956493','M1823072687',0,3864.76,122,0,0.0,505119,0.0163934426229508,0.0,177311,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1483054025','M348934600',0,2803.24,163,0,0.0,505119,0.0,0.0,196336,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C546386486','M1823072687',0,3189.52,109,0,0.0,505119,0.0825688073394495,0.0,165132,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2057462116','M348934600',0,6209.23,32,0,0.0,505119,0.0,0.0,50264,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C480975116','M348934600',0,4613.48,97,0,0.0,505119,0.0,0.0,140540,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C902837455','M1823072687',0,471.68,34,0,0.0,505119,0.0,0.0,26644,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C576597517','M348934600',0,1731.79,32,0,0.0,505119,0.03125,0.0,91883,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
